isin,year,Scope 1,Scope 2 (location based),Scope 2 (market based),Scope 3 (total),Scope 3 (cat 1),Scope 3 (cat 2),Scope 3 (cat 3),Scope 3 (cat 4),Scope 3 (cat 5),Scope 3 (cat 6),Scope 3 (cat 7),Scope 3 (cat 8),Scope 3 (cat 9),Scope 3 (cat 10),Scope 3 (cat 11),Scope 3 (cat 12),Scope 3 (cat 13),Scope 3 (cat 14),Scope 3 (cat 15),CountryName
US46565G1040,2019,386,44466,769,178824,234462,135285,192089,80824,67682,68912,219298,14603,70081,65794,179582,53085,138191,164954,163605,UNITED STATES
US46565G1040,2020,423,132824,62347,61299,19627,175935,99993,22011,9052,205149,212587,183789,113238,192822,71150,181472,264295,269863,47435,UNITED STATES
US46565G1040,2021,382,176090,238772,741,60127,74842,56809,139945,143891,172321,33476,242678,134144,58093,106044,132786,287569,203949,242886,UNITED STATES
US46565G1040,2022,389,146612,129052,45095,158911,108036,255114,14244,75525,147505,149714,228260,17050,241001,89713,65110,119475,261038,34372,UNITED STATES
US46565G1040,2023,334,163189,4446,24813,171762,31113,48655,171592,138587,52326,81550,152467,8064,87365,280395,280465,39820,75681,255266,UNITED STATES
US7153471005,2013,310,166800,142544,21623,160129,276405,255825,168712,13888,114736,118222,193721,239927,56881,136018,185773,143163,198446,116825,UNITED STATES
US7153471005,2014,340,144326,242899,181288,262993,163446,158591,247507,70389,37600,287963,224785,181072,256753,99267,232260,38700,158713,80997,UNITED STATES
US7153471005,2015,349,208616,157748,30033,284172,160709,159434,169389,132886,117067,148742,16175,206720,34612,258704,276246,158630,79868,235074,UNITED STATES
US7153471005,2016,326,79726,271938,115220,73660,50719,212532,212937,120017,149611,245571,105887,153124,138692,254483,98410,169045,131284,138704,UNITED STATES
US7153471005,2017,346,134585,130494,8879,105949,285047,87777,85702,82727,110688,91597,267753,3093,255978,181370,234023,128819,73956,253515,UNITED STATES
US7153471005,2018,382,72164,227183,194745,259836,12714,258574,33425,185739,148263,286820,99863,163860,21479,103976,56015,266743,96929,36661,UNITED STATES
US7153471005,2019,399,243767,236275,33057,127714,128162,239049,56696,252766,136075,259434,193287,155828,153549,162064,25596,265932,210792,167652,UNITED STATES
US7153471005,2020,378,150477,61471,246128,209948,167549,41222,172464,116409,216431,86611,68628,170198,36057,168841,226108,104891,181945,6422,UNITED STATES
US7153471005,2021,370,243127,71450,206778,64957,69587,9165,187846,31990,36653,92647,233485,226244,263349,32769,79255,135506,179337,282241,UNITED STATES
US7153471005,2022,391,111225,245602,239650,185660,254836,208033,138221,203922,108078,126219,71585,77784,246313,31304,84670,121094,28991,77580,UNITED STATES
US7153471005,2023,356,231618,277700,267102,61343,172081,271716,227394,219711,173933,26348,178165,227119,222647,12798,91769,202152,265364,109500,UNITED STATES
US1713401024,2013,319,262875,83655,264854,93440,178926,77471,198259,189965,142369,221240,16939,195747,107323,210663,176057,217001,152163,237773,UNITED STATES
US1713401024,2014,321,193557,237006,224937,279343,148588,250914,136313,261802,19822,27751,190750,46357,52353,156890,48963,122640,259304,4415,UNITED STATES
US1713401024,2015,295,6657,1079,10762,249663,94964,264627,224061,87212,173356,167398,59904,35646,253392,111229,221153,240270,1595,142026,UNITED STATES
US1713401024,2016,303,233875,58184,135644,221582,220232,165817,155375,52695,60250,239650,87440,144452,15519,68357,42422,64345,187663,45109,UNITED STATES
US1713401024,2017,301,176018,160116,198590,162631,254866,259106,210827,228246,239019,12016,142664,191873,201275,21994,87781,67270,106071,209752,UNITED STATES
US1713401024,2018,335,54685,261539,46606,84325,245773,166490,65105,41858,255411,141630,207949,279350,204535,76624,271019,150537,283500,237550,UNITED STATES
US1713401024,2019,321,222860,276817,74423,84492,178051,179197,284960,269802,71236,58624,156423,129188,152514,55157,138718,231557,262862,152532,UNITED STATES
US1713401024,2020,326,68876,177322,113176,147512,106578,41171,135821,179248,195301,209271,113333,146774,169925,250586,133509,216641,203710,41813,UNITED STATES
US1713401024,2021,319,7154,169108,55392,110737,122137,167112,20315,60237,216186,185137,227036,269186,158798,58863,3363,273250,270976,268713,UNITED STATES
US1713401024,2022,352,122360,135136,140037,24873,174916,41790,139690,34241,14887,224771,154959,118781,223627,18212,232428,167362,205431,245441,UNITED STATES
US1713401024,2023,351,215357,215780,237482,233727,182896,36531,4739,26825,274225,102373,195638,86715,265032,275394,196753,228520,56042,118984,UNITED STATES
JP3240100002,2013,306,221011,4907,222212,225469,61617,33996,95298,70464,247703,34881,276111,55385,205055,101797,83201,287276,170699,135788,JAPAN
JP3240100002,2014,302,252775,246542,31492,160296,250756,189194,216570,247335,136729,20094,162261,273787,142911,4397,194540,201276,178210,257855,JAPAN
JP3240100002,2015,294,270079,153146,91839,219364,135791,259246,165131,172117,207154,149080,60904,248637,98719,190947,111597,186059,121172,67049,JAPAN
JP3240100002,2016,289,223582,108688,240760,129542,132925,45596,258669,114249,117546,212107,186104,240455,94889,256096,122785,118205,225841,129136,JAPAN
JP3240100002,2017,299,132939,207789,204043,261231,45741,83844,78491,64158,61940,48002,178237,127797,22160,195982,143304,116408,68215,156005,JAPAN
JP3240100002,2018,328,254329,12731,56897,260907,245659,233860,201745,265622,280867,263286,112239,20207,195702,66687,202352,154523,176492,126709,JAPAN
JP3240100002,2019,363,82945,150688,189405,96660,238764,273657,184165,23631,207882,188114,110349,119791,221373,204622,224375,79555,135805,23533,JAPAN
JP3240100002,2020,398,92682,102243,233893,182577,246969,31950,196636,176448,247449,67387,230139,243672,254223,61505,135853,54872,258964,28573,JAPAN
JP3240100002,2021,397,149431,74434,11338,33924,117025,105166,92365,197684,277977,184534,140206,285365,13268,221643,6720,69676,102265,267313,JAPAN
JP3240100002,2022,370,30574,61679,278682,101885,282662,265265,213751,271874,228486,103990,236718,165567,88655,207083,205964,173076,187915,228502,JAPAN
JP3240100002,2023,391,192114,188539,49779,142700,3044,271503,287301,75211,154322,10159,221848,210230,228913,5643,236985,253333,263941,128963,JAPAN
JP3236320002,2013,288,196226,81711,107556,114473,269141,243847,178307,259246,103975,136843,174495,238547,43832,171245,248512,99101,66256,100191,JAPAN
JP3236320002,2014,309,80677,202606,186932,278676,184629,248769,51282,68380,161206,255934,248325,175506,106648,12475,262994,170648,101258,134439,JAPAN
JP3236320002,2015,353,229724,148794,114761,247289,90140,172415,96008,242766,2663,225609,14655,234408,203293,286661,12420,12496,83715,241995,JAPAN
JP3236320002,2016,351,282796,192689,94726,88162,46950,164800,135300,98686,190465,260385,192356,41834,112771,215079,167153,262707,92774,194598,JAPAN
JP3236320002,2017,339,60370,68446,143394,89323,162821,213552,21081,248399,45868,106928,100949,151949,273258,184368,216033,112424,139524,154292,JAPAN
JP3236320002,2018,321,41191,252846,71747,36393,148036,49839,89267,284592,164222,174569,152263,109206,7238,89194,215602,155859,261180,18810,JAPAN
JP3236320002,2019,335,177354,147446,255406,118683,939,191783,50742,104753,218146,111196,71671,235310,274613,214335,217192,228244,119610,244206,JAPAN
JP3236320002,2020,300,203527,108662,7332,189041,257244,92594,61574,63153,267255,81512,265336,260944,246319,220644,217417,160932,221938,260035,JAPAN
JP3236320002,2021,304,82547,14229,62825,29404,283842,233647,30710,6627,82606,37387,89660,197927,177738,157982,253477,143069,141773,43430,JAPAN
JP3236320002,2022,298,222851,166575,226167,126758,29790,287295,188962,253500,54435,28563,123383,91732,51995,218998,202945,194282,261628,272570,JAPAN
JP3236320002,2023,298,64269,252654,219182,72961,154498,265420,102595,61657,142905,188173,84315,286376,276708,224198,104041,18744,280301,142970,JAPAN
KYG686121032,2013,327,254973,241641,29396,127482,27000,76914,77086,178688,205496,120312,199945,269187,260777,148239,136864,164667,220401,212353,CAYMAN ISLANDS
KYG686121032,2014,289,88970,76787,114887,12488,71628,88030,20140,179870,275825,276291,276524,42444,259677,21553,92290,145826,233652,266705,CAYMAN ISLANDS
KYG686121032,2015,298,1905,204858,110209,247809,115872,252028,13209,148041,186821,266427,17164,183733,63104,109034,224881,233835,190431,48836,CAYMAN ISLANDS
KYG686121032,2016,310,140189,202091,116707,20650,260028,129969,102786,219097,114383,276063,234635,156432,237215,51538,83983,87076,191851,197445,CAYMAN ISLANDS
KYG686121032,2017,295,132569,30211,155518,233439,91267,269523,162549,226508,283331,55949,98973,192512,71302,252437,32726,269525,186820,193937,CAYMAN ISLANDS
KYG686121032,2018,333,192501,25594,237453,187767,180398,171347,225852,46059,211109,143464,233416,257046,154734,152004,259782,282361,49664,66227,CAYMAN ISLANDS
KYG686121032,2019,295,244560,274154,23421,232482,152003,214942,118323,222528,28181,209703,103627,252230,270614,21726,255368,196325,275612,12792,CAYMAN ISLANDS
KYG686121032,2020,298,57991,232839,307,238603,72105,51294,123109,68528,252149,104986,270634,167347,162307,45812,63759,178448,170489,51667,CAYMAN ISLANDS
KYG686121032,2021,307,40837,268637,105603,243624,33145,100700,174462,114325,29258,218565,286024,265545,142725,168146,276915,281479,103179,185275,CAYMAN ISLANDS
KYG686121032,2022,346,6936,202548,241813,147387,119583,182589,53218,214941,38075,12912,262545,179759,2814,241820,253553,121882,253490,163920,CAYMAN ISLANDS
KYG686121032,2023,394,224212,157533,4330,94993,175831,2887,86847,276003,190974,258494,268313,229213,160042,239222,24371,186664,35191,269501,CAYMAN ISLANDS
CNE000001KP1,2013,297,36864,167025,164122,225690,113798,140396,130951,166041,244303,254778,118812,260595,83727,232135,244474,285895,140644,134868,CHINA
CNE000001KP1,2014,290,36655,13200,72985,155427,35372,71566,56485,112985,218379,96024,96967,173444,175320,99084,4164,167508,205921,166136,CHINA
CNE000001KP1,2015,298,103413,114034,178921,153528,76604,273248,161893,248478,226730,164783,27809,151381,284171,190665,79292,175854,258919,168253,CHINA
CNE000001KP1,2016,309,242826,259990,251751,108437,241007,77664,80682,36453,102468,143295,192364,64132,226599,275949,148709,258096,222929,151560,CHINA
CNE000001KP1,2017,346,171285,3007,199169,4708,160164,210757,183717,27259,104339,76194,53650,203760,33634,283576,276594,87353,88210,19534,CHINA
CNE000001KP1,2018,385,198134,32289,123569,175715,67050,277824,220202,247533,215376,118902,108200,261811,36442,262377,252205,182488,180238,220712,CHINA
CNE000001KP1,2019,379,180301,184679,232904,72395,60139,146550,63655,54593,22834,67137,72679,283631,86277,123156,236578,40611,55693,264818,CHINA
CNE000001KP1,2020,414,245725,109311,46823,92574,241976,128378,75858,153584,164691,95914,264318,36061,120395,15623,239642,78662,152984,65594,CHINA
CNE000001KP1,2021,370,146612,204247,188091,92255,215326,230875,258372,43026,68186,274738,268137,281191,143991,23667,74618,56701,243632,68911,CHINA
CNE000001KP1,2022,358,100874,70963,282492,117886,40891,70343,268012,93326,95557,278189,201243,75593,246286,147244,29512,183942,263496,271628,CHINA
CNE000001KP1,2023,384,201677,171006,33669,269455,179041,30747,60104,196313,191182,202129,2834,23717,272537,4129,64394,228285,95059,235993,CHINA
JP3610600003,2013,327,221408,19126,139799,255194,128508,207755,128642,77523,282785,110027,281487,257356,128910,123813,13648,61952,17442,26021,JAPAN
JP3610600003,2014,365,129849,127543,58238,277543,147929,7614,112179,18164,41386,107582,37298,27690,65359,209667,131506,244807,148805,153542,JAPAN
JP3610600003,2015,416,179832,202482,275687,281729,224719,39679,65806,280849,188084,265630,84864,83262,170494,249762,265327,231831,135437,170417,JAPAN
JP3610600003,2016,414,230185,227822,288427,98631,63034,187514,172033,30418,223558,53672,110696,185243,228128,27664,78370,81220,193688,185259,JAPAN
JP3610600003,2017,364,194681,136017,164073,237160,219377,182911,272485,37573,145565,236101,204867,111401,64678,255661,32026,27084,116193,55858,JAPAN
JP3610600003,2018,324,263037,61777,241993,223279,211264,236311,241583,9844,224036,147622,208327,76873,35950,129925,248999,148223,28783,267197,JAPAN
JP3610600003,2019,309,180153,269193,17068,37029,193151,75496,183917,203590,62986,269310,281886,107286,195915,73525,238884,128933,115323,100919,JAPAN
JP3610600003,2020,311,48550,188896,275129,154586,101853,184372,13232,231520,137595,5349,245696,135582,43520,91227,286014,190895,42887,68986,JAPAN
JP3610600003,2021,320,114414,30132,258911,9904,71479,90228,16577,9160,230199,200442,103350,102674,151037,67887,219704,268100,247180,29187,JAPAN
JP3610600003,2022,353,186985,233675,73772,264680,272939,124492,186673,139243,13379,82026,120400,286271,203468,138030,154631,110895,217341,162960,JAPAN
JP3610600003,2023,324,12921,232418,251033,241169,14983,2005,103637,28888,30307,64726,198608,59210,98263,76589,85917,132994,181734,56732,JAPAN
KR7002790004,2013,306,153748,212075,174078,112521,237758,45094,211751,102530,89266,209836,27182,20814,9728,19494,30823,179924,227632,33373,"KOREA, REPUBLIC OF"
KR7002790004,2014,318,183108,237695,87145,268926,266312,178307,27869,74070,196051,262057,7109,116844,48693,164203,272588,251112,26188,42608,"KOREA, REPUBLIC OF"
KR7002790004,2015,314,154309,262687,203486,108420,73161,119685,105668,196783,197127,41792,77677,165238,158276,218522,93451,254451,277602,71966,"KOREA, REPUBLIC OF"
KR7002790004,2016,309,96084,119943,8138,192759,248637,88984,199294,99862,148788,280363,36920,155315,172279,135664,267017,212271,66056,159887,"KOREA, REPUBLIC OF"
KR7002790004,2017,293,72393,10970,237371,179908,44254,179595,253647,190891,273540,269434,34437,76886,4878,224019,178086,26154,21232,13333,"KOREA, REPUBLIC OF"
KR7002790004,2018,320,78068,138574,146374,205395,265661,240485,36149,81627,221814,90020,135914,214915,233397,134910,165278,122646,232795,195955,"KOREA, REPUBLIC OF"
KR7002790004,2019,350,142739,219325,218578,30087,271389,263214,219762,159889,198598,189273,68848,39038,6154,53349,131577,16888,9160,190605,"KOREA, REPUBLIC OF"
KR7002790004,2020,375,26315,53810,137476,26104,145443,84626,53753,121177,28280,82046,67567,157459,200733,94367,255423,261813,61820,200659,"KOREA, REPUBLIC OF"
KR7002790004,2021,401,101016,256035,72680,28863,261599,120984,266545,237992,114055,136387,240533,186890,180410,154840,59659,119473,246806,168845,"KOREA, REPUBLIC OF"
KR7002790004,2022,457,11009,231287,171590,123451,63298,38868,234825,207934,56823,257399,226290,81176,244503,278560,229455,47784,110538,130183,"KOREA, REPUBLIC OF"
KR7002790004,2023,434,141189,155226,108257,49212,258710,76407,81835,197872,67754,175014,108876,184335,144487,264133,41837,141997,270961,280882,"KOREA, REPUBLIC OF"
US2681501092,2013,329,66218,103036,208040,143132,133457,2392,47764,92096,99096,282567,269385,75378,9948,236361,93437,264789,127186,122794,UNITED STATES
US2681501092,2014,311,133267,165084,215954,267831,154450,74466,158038,254304,73453,213416,239176,51017,82110,22580,9490,204828,76110,152042,UNITED STATES
US2681501092,2015,320,62975,132548,62313,203141,26234,77632,142023,260386,162288,51855,145959,278385,51027,217379,108540,28272,234201,220304,UNITED STATES
US2681501092,2016,315,79138,184328,14836,200485,765,115296,43681,87424,212379,103093,25676,14845,182600,227302,182681,12445,172713,94706,UNITED STATES
US2681501092,2017,297,248963,270515,156411,2940,36811,65255,129028,54909,121307,284376,194653,129016,226322,19593,30009,149215,191834,246832,UNITED STATES
US2681501092,2018,292,160072,116298,254761,287837,188708,185254,205321,26508,151730,103303,193558,128816,244673,108469,34384,175449,37904,15068,UNITED STATES
US2681501092,2019,289,117946,231646,147502,165949,242574,277231,195379,147194,246280,98742,12169,262534,287317,197554,142848,74667,33885,253263,UNITED STATES
US2681501092,2020,328,159313,30980,30394,153422,271852,127869,201741,184907,282358,266779,259760,180330,221011,129231,194388,199001,193837,166802,UNITED STATES
US2681501092,2021,366,172433,282618,45576,7896,188203,72348,109158,29275,185267,246189,151186,120618,195780,150757,156836,127995,202443,33770,UNITED STATES
US2681501092,2022,412,5167,26177,252288,23046,46615,188354,279025,114902,125079,256308,63516,81758,238327,112888,144162,145085,195955,195657,UNITED STATES
US2681501092,2023,391,230376,91354,185868,18507,163864,62777,249453,1795,127863,157915,128209,271331,135571,208468,160302,70432,145962,134361,UNITED STATES
US86606G1013,2013,306,25936,152487,161716,278261,85620,270866,20758,74530,124458,65299,75264,148076,17670,98889,95792,29994,162833,177752,UNITED STATES
US86606G1013,2014,343,146612,242336,12799,216181,80731,126180,120469,136037,61155,137815,85765,13300,42563,151781,150267,262294,264383,191332,UNITED STATES
US86606G1013,2015,334,194343,160141,147904,284889,82736,63825,168486,218570,106131,226760,200542,181611,179926,186578,153187,206583,48744,223367,UNITED STATES
US86606G1013,2016,315,169879,107260,80298,10338,279797,126104,132490,14291,275142,227180,41994,34426,201316,147244,162673,262060,14853,18506,UNITED STATES
US86606G1013,2017,352,209205,270384,188764,29819,155523,250684,218552,73869,188639,19624,56886,55896,247348,198303,13531,76305,108895,142161,UNITED STATES
US86606G1013,2018,348,237339,162454,35303,276506,152848,127553,58762,218652,176518,74614,69725,66832,193774,175780,256385,27223,225090,119212,UNITED STATES
US86606G1013,2019,339,122064,100640,226552,177857,48685,250412,83201,243112,181456,115986,174047,148925,18583,97428,203600,93802,55488,240643,UNITED STATES
US86606G1013,2020,379,180792,223102,161396,112689,230599,221081,248607,166748,214944,205139,140258,225520,158491,135154,60061,35082,98931,34744,UNITED STATES
US86606G1013,2021,421,73516,254179,228549,33779,38492,209830,110023,93928,165616,74033,248592,226160,116861,77794,37315,83346,236797,83797,UNITED STATES
US86606G1013,2022,441,232655,127991,233287,95114,267705,14622,187568,223463,184217,69155,2408,99084,154257,136412,247047,275731,38314,7842,UNITED STATES
US86606G1013,2023,505,53829,282385,250075,5460,260905,63864,22949,89158,95995,54973,242111,241772,32598,262186,136673,184364,92562,14285,UNITED STATES
INE397D01024,2013,330,127474,81041,24682,20943,272729,165202,103448,161861,40900,173075,150129,219897,112693,108300,183267,251219,41516,214804,INDIA
INE397D01024,2014,292,232527,118973,66402,116539,67597,179107,268788,200271,265225,180378,238977,1513,208900,86117,113174,242046,213937,155017,INDIA
INE397D01024,2015,319,84341,256899,239150,214575,9692,252683,236354,36364,156053,286892,24153,158946,94115,222456,114281,54909,102091,136420,INDIA
INE397D01024,2016,336,249070,163645,237472,58656,243488,107238,81929,260195,146216,32261,91965,94211,160167,184891,199534,266986,278293,286118,INDIA
INE397D01024,2017,347,221896,92865,65559,10248,142815,143816,287257,8639,179383,185485,279356,199052,107625,178972,26834,174991,108926,73732,INDIA
INE397D01024,2018,296,128334,152801,93078,97387,54446,35731,255833,5064,185272,93943,56579,207779,76572,51659,43630,259249,59992,247622,INDIA
INE397D01024,2019,298,79589,92719,255861,183114,147431,210132,16091,280075,176862,211016,177990,197651,179309,40338,224978,234354,164362,172768,INDIA
INE397D01024,2020,304,116364,3339,26629,251851,207570,60225,180438,87602,29602,141816,120750,215939,144695,201135,208829,99722,200322,161639,INDIA
INE397D01024,2021,326,15750,125515,165326,81985,85821,48356,259017,12439,91276,263543,184084,31498,283155,21344,281619,121253,269319,176494,INDIA
INE397D01024,2022,371,48400,216176,40657,165951,269024,9602,200887,181671,260826,285680,18756,54690,187147,152262,233919,17690,144821,149337,INDIA
INE397D01024,2023,377,5086,104881,182632,141542,79578,138236,242524,211382,250533,278519,45086,282913,130138,89634,280790,99951,24284,219533,INDIA
US4601461035,2013,304,112479,16162,158598,1516,241849,4108,222304,187003,169590,253057,23306,285833,269796,126448,201057,149568,147426,23811,UNITED STATES
US4601461035,2014,334,215877,122693,162218,53262,234046,125822,73770,281525,70796,75604,135779,128503,248519,203860,234392,82201,80034,79400,UNITED STATES
US4601461035,2015,351,14947,68592,115869,44034,6646,266911,36801,189199,274889,13803,280822,115536,143550,265169,109837,231719,29840,137469,UNITED STATES
US4601461035,2016,345,130007,58963,269234,118886,283033,85973,259764,231838,286599,285777,282507,100620,127031,161202,234250,108034,233222,106668,UNITED STATES
US4601461035,2017,365,227383,282233,201089,163968,139595,129432,124851,260623,85791,204125,243934,127349,271145,210322,173089,51277,27391,96434,UNITED STATES
US4601461035,2018,415,277744,201466,3688,65786,44909,111207,155098,18095,218893,148337,199501,142178,78465,156348,8393,36087,130477,31668,UNITED STATES
US4601461035,2019,420,287544,84492,189559,189300,203917,253164,187697,287168,150635,194403,173253,44269,203934,85105,181700,83789,213909,185005,UNITED STATES
US4601461035,2020,382,114443,86013,258695,146808,187129,202902,233996,222640,151800,24554,45992,225875,61261,28722,5906,264325,231262,85576,UNITED STATES
US4601461035,2021,327,282767,36646,187726,226145,76187,214923,242914,245835,118270,109310,216978,157056,131852,244122,134119,272639,227548,98672,UNITED STATES
US4601461035,2022,304,47592,121350,53478,229542,66743,19669,220874,61912,49334,92831,68509,154593,125614,281413,48774,185074,78663,203932,UNITED STATES
US4601461035,2023,341,258607,173162,79162,109438,180717,283894,18663,150906,91241,509,129271,66466,142820,95866,50125,286143,126693,185609,UNITED STATES
DK0060907293,2013,307,130303,68902,33413,177772,142914,143913,202785,242633,160215,236318,273692,270126,172418,147446,208004,19894,277508,60772,DENMARK
DK0060907293,2014,317,209485,163187,54339,73036,130389,67243,258704,112414,194148,257995,84669,201175,161861,45737,278352,12911,166611,69590,DENMARK
DK0060907293,2015,324,195463,29820,255629,154179,79356,134574,194270,166975,9130,226207,280256,146779,100205,184891,85663,51915,120008,87577,DENMARK
DK0060907293,2016,341,282862,159334,253195,181026,9873,71726,55816,101622,233544,261830,252089,130935,57065,130132,11502,168408,218379,253035,DENMARK
DK0060907293,2017,311,156406,267384,168500,210165,31678,95628,184654,222976,129119,49327,96254,57557,225111,150207,253184,44943,132285,15918,DENMARK
DK0060907293,2018,338,179355,8083,180563,43542,61399,53221,197559,142501,264678,100889,128717,193980,227712,226183,139042,239133,37608,146430,DENMARK
DK0060907293,2019,380,279033,192317,162225,56314,139056,140933,142021,252409,90938,207471,197976,29713,226204,262170,201085,176013,66366,188004,DENMARK
DK0060907293,2020,341,270867,71668,142409,274089,27900,277911,121820,19602,128554,79230,31558,262069,172213,196255,71935,65553,169087,273313,DENMARK
DK0060907293,2021,349,101567,160398,280292,174919,20169,98928,5924,34937,79179,215040,166916,67517,284404,85025,233109,236086,111423,18146,DENMARK
DK0060907293,2022,318,177471,229532,121745,115409,121800,124441,269758,97321,100330,85850,10563,33218,83952,88094,128340,282207,190092,10944,DENMARK
DK0060907293,2023,295,214238,84535,219654,113794,58895,221931,225789,194639,1845,237271,285287,89584,187201,155129,215250,177399,109494,61799,DENMARK
CNE100000BQ9,2013,314,97706,5817,188728,236863,237711,259998,158696,139918,278037,52636,138402,33195,106522,174860,164601,94176,61302,39688,CHINA
CNE100000BQ9,2014,341,240182,73320,100368,103237,142364,135584,11683,39381,200886,164260,133011,220632,216957,31292,66798,88522,132727,138482,CHINA
CNE100000BQ9,2015,350,179829,88317,186251,126754,9205,240810,232886,111543,25228,128267,49118,83587,227233,242934,100135,157974,239870,9477,CHINA
CNE100000BQ9,2016,310,73273,182510,13249,30441,265377,219422,17572,214033,17595,146334,180083,19909,255682,33366,100461,214180,230422,42353,CHINA
CNE100000BQ9,2017,347,240707,102874,3881,103746,102660,247205,46203,96610,154661,157421,164290,173816,29971,97559,123516,262621,28307,224209,CHINA
CNE100000BQ9,2018,316,204316,170068,8331,244021,215356,226600,246954,264456,216965,25288,80991,71929,38167,57752,202369,201808,71590,74764,CHINA
CNE100000BQ9,2019,343,177538,11963,128456,98849,255771,281384,193726,254767,54141,69977,169718,286908,150851,196851,185511,283946,172941,220774,CHINA
CNE100000BQ9,2020,294,176856,83139,186221,234546,35065,262474,203914,129535,196462,211989,274626,128695,147947,255288,206390,84446,110066,67468,CHINA
CNE100000BQ9,2021,320,271656,78168,5872,225022,30797,101559,269816,244403,38983,169095,37147,127075,213429,195285,126946,280860,187862,29168,CHINA
CNE100000BQ9,2022,342,212068,256941,16736,177023,168331,106141,25529,88547,129208,277606,90837,284648,266454,60775,168873,205037,110904,247487,CHINA
CNE100000BQ9,2023,334,240969,57690,229910,146443,31797,161323,286150,73526,242312,59736,66151,41418,136304,17885,189355,273753,68732,103628,CHINA
TH0150010Z03,2013,325,235887,19146,270445,258191,153531,276568,55294,235713,78520,53960,17433,271197,280215,188180,116429,6653,47611,104214,THAILAND
TH0150010Z03,2014,364,163798,159969,199142,280518,286821,52228,157108,10047,83813,272304,280667,197427,133846,18194,109689,60301,19136,10348,THAILAND
TH0150010Z03,2015,333,122613,76066,32581,262828,271738,96763,99207,221314,268567,117449,109483,205214,74422,201838,139256,167404,130472,91772,THAILAND
TH0150010Z03,2016,354,56788,130447,35995,276711,281656,158382,170364,236580,116562,151459,182999,254046,29417,248413,31604,119432,59929,153853,THAILAND
TH0150010Z03,2017,399,177052,175820,110342,41430,88701,86172,158639,142335,259857,37065,76966,263718,194718,17300,102924,62961,40085,170420,THAILAND
TH0150010Z03,2018,378,218058,68864,171583,58544,27895,136793,199858,138873,117133,181413,80409,265631,158181,240099,131187,49455,125776,127646,THAILAND
TH0150010Z03,2019,375,190529,58014,43808,63224,206906,167569,231156,8419,67392,204419,261417,135722,194420,204152,152807,206875,26470,87041,THAILAND
TH0150010Z03,2020,366,261029,108707,3666,96301,193976,277232,1414,43326,93198,156802,20638,18628,263514,978,46149,105391,200579,113353,THAILAND
TH0150010Z03,2021,340,223888,190364,242447,87582,256950,264392,141336,288410,36584,89165,8721,270840,276312,83179,143634,201502,262045,1974,THAILAND
TH0150010Z03,2022,337,37897,93145,280438,41767,166232,38499,135119,206147,141551,33147,147195,93687,13458,111886,20125,133165,280480,220285,THAILAND
TH0150010Z03,2023,367,176515,140942,30557,98171,207727,35867,237357,40444,153113,3374,205463,132602,145462,73490,163890,64019,105498,243018,THAILAND
MXP225611567,2013,301,93118,86335,240303,15549,111967,234109,31813,112142,90511,164345,77447,67882,75876,114903,213927,31942,126703,183177,MEXICO
MXP225611567,2014,291,146013,36736,78762,15549,271736,91276,222198,41563,18813,239217,255122,278433,7812,250231,244536,163062,211501,241915,MEXICO
MXP225611567,2015,291,47289,153138,124568,62863,205861,136647,206739,13801,279833,103092,220096,42773,158915,7724,120258,258593,139939,258489,MEXICO
MXP225611567,2016,332,86860,212410,187457,210326,36197,193511,16054,132986,244877,121229,153312,178428,266195,56121,3605,92348,124502,141004,MEXICO
MXP225611567,2017,354,36303,9278,232813,84569,22367,64442,188929,274481,85374,273652,116310,69109,73619,22110,244224,25451,21119,205652,MEXICO
MXP225611567,2018,350,277900,1696,239738,3347,10739,142486,30864,283012,225177,216572,259481,222157,100436,254003,263402,277562,241382,200431,MEXICO
MXP225611567,2019,376,106247,250901,156974,51537,98143,158427,100865,202200,141551,97915,21430,11301,248700,229448,180125,94427,96366,138093,MEXICO
MXP225611567,2020,384,78874,18339,284443,130773,191565,207468,153817,94991,168083,4835,34652,142244,82288,144491,20894,66617,38859,45636,MEXICO
MXP225611567,2021,418,42855,235780,25332,175999,32783,16811,116016,102643,67408,132936,202767,137542,214897,228767,212700,204528,120356,264843,MEXICO
MXP225611567,2022,393,43968,75093,72207,241465,106864,149058,43856,14148,40504,52741,54967,148977,198361,63462,145138,63856,84327,155153,MEXICO
MXP225611567,2023,419,274486,127018,99711,37860,242028,56485,212756,265950,149853,102089,142177,201762,100619,188693,143243,269396,202308,14940,MEXICO
CH1176493729,2013,303,5930,5989,252148,280689,109135,110430,80595,263963,184832,133123,245531,66138,160530,268493,119799,151898,230505,270821,SWITZERLAND
CH1176493729,2014,334,84626,224390,44724,49542,210033,251808,110461,221987,82594,188013,147228,225906,93943,209576,214317,89198,101888,118013,SWITZERLAND
CH1176493729,2015,321,63979,182291,31906,167992,189142,131179,47326,167391,176927,104834,283568,76403,60637,146852,173717,115674,42683,40131,SWITZERLAND
CH1176493729,2016,344,141314,3897,163974,227194,161388,146550,32635,55491,64837,177220,170962,55510,5806,181799,96788,274029,56294,184214,SWITZERLAND
CH1176493729,2017,316,92412,66282,15463,206874,76956,58017,112076,243584,283100,276181,29091,33844,143586,178901,242859,258610,72344,174273,SWITZERLAND
